"archive_id","ad_creative_body","ad_creation_time","ad_delivery_start_time","ad_delivery_stop_time","page_id","currency","ad_creative_link_caption","ad_creative_link_title","ad_creative_link_description","ad_snapshot_url","funding_entity"
"46122295237429892","Right now, we’re working with the NHS to support their priorities, such as providing rapid and safe discharge services (freeing up hospital beds). But just this week, we found out the demand for our support of UK hospitals may as much as triple – very soon.

We need to be there no matter what.

It’s your kindness that will keep us together. Please, help fund our COVID-19 response.","2020-04-14","2020-04-14","2020-04-16","26698813123","GBP","donate.redcross.org.uk","Support Our COVID-19 Response","We rely on your support to help people cope with a crisis in the UK","https://www.facebook.com/ads/archive/render_ad/?id=46122295237429892&access_token=EAAD2gYjXSRoBAEraw6HyQ3F6R1NVtfue7QZCspSXOEbibOV0XAV99dhRHyZCDZAgZAnG4yEJZCIjCXrZCVTjqywKdB62redYHCG94V1sCTT7dZB6AKqSWEwQ3rG2nphBZC7dSOyHqTbamJdZB6u9qJeUWyHWyTkU90GMwkXa4AEMeclU7Ti8FLZCWo","British Red Cross"
"42294202946905826","The Hudson Valley needs leaders in Washington who are focused on solving problems—not advancing a partisan political agenda.","2019-11-28","2019-11-28","2019-12-24","773787689497438","USD","chelefarley.com","","Sign My Petition","https://www.facebook.com/ads/archive/render_ad/?id=42294202946905826&access_token=EAAD2gYjXSRoBANHib7yyqD2c5Odyh2ctnUhfsw7Htn4jqXfnZAQ5P2JAxDPsWvQHChLL3659Jy8kHvzh1wGHbjk0V8Bci8cYO7wHwaQAXu22JT857aasjNiTYsGjZCaYdOJxRNfmAsadrUEZAD1oSQrxZAqlpFr5ZChDafsCxZBcfILHotNdW4","CHELE FARLEY FOR CONGRESS INC."
"42006033772526286","Preparing for our future:Small business, Strong communities, sustainable environmental policies and fiscal responsibility.  Vote Deena for 4!","2019-12-31","2019-12-31","2020-01-30","117662956301682","USD","www.facebook.com","Deena Davenport Conway","Deena Davenport Conway is a citizen of Inyo County and lives in Independence CA.  She is happy to be running for District 4 Supervisor.","https://www.facebook.com/ads/archive/render_ad/?id=42006033772526286&access_token=EAAhZBQYQVMRMBAMso0s3yKiWOLJDd6YhYI8hZBSxBnhAfZAp7DaUGOGpSgJiPzVjaLygZCpzqVrVZAEiKnoNAJIcfIhSOGhLVO3qREeFMxlB0O4YnOsFtxFVXRWyY5JbnKEsgQqQBONG2VbAQdZCGxCObz2qJxOksZD","Susan Tenby"
"39286283231168034","Hey There! We know you really wanted this beautiful Trump 2020 Law and Order Premium Sherpa Blanket and thought we would help you out! 🛒

Click on shop now and get a matching 3x5"" Single reverse flag with it. 🇺🇸
⏲️Limited Time Offer Only! Get Yours Today! ⏲️

Shop Now => doperage.com/trump-law-and-order-blanket-with-flag","2019-12-04","2019-12-04",NULL,"137569740231452","USD","RESPECTTHELOOK.COM","","Get a Maching 3x5 Single Reverse Flag FREE!","https://www.facebook.com/ads/archive/render_ad/?id=39286283231168034&access_token=EAAD2gYjXSRoBANHib7yyqD2c5Odyh2ctnUhfsw7Htn4jqXfnZAQ5P2JAxDPsWvQHChLL3659Jy8kHvzh1wGHbjk0V8Bci8cYO7wHwaQAXu22JT857aasjNiTYsGjZCaYdOJxRNfmAsadrUEZAD1oSQrxZAqlpFr5ZChDafsCxZBcfILHotNdW4","Respect The Look"
"38699622183030605","Congress Finally Passed a Homeowner Relief Program for Middle Class Homeowners. Here's how it works...","2019-07-29","2019-07-29",NULL,"1035182206671910","USD","www.1clickbenefit.com","","🇺🇸 New 2019 ""Relief Program"" Reduces Home Payments [Tap Here]","https://www.facebook.com/ads/archive/render_ad/?id=38699622183030605&access_token=EAAhZBQYQVMRMBAK6KLIZCCQBkhuH8AyAJj1XoJuhy0KRU4V9gMiVe4cs4ZB6GxdetcNz8uosmAtbBzrCsEvF1YV7RPs3FssXDZCjcSnd0U4ZCYQKdEh78i2ZAtBO2oZCvOhrZBwR8Mkt7KFvtBUX2r2xMNoiW2Y295xGiZBND6Eq3zke3fo9e3MUY","Helping Hands Awareness"
"37784157851243714","Don't buy solar panels before you read this.  Find out what it will cost to get solar energy for your home with our free online tool.  

Developed in conjunction with the US Department of Energy, MySolar and its partners will calculate how you can save the most money by getting solar energy.

Start here by simply entering your ZIP code:  
https://www.mysolar.com/lp08/?source=fb&campaign=2019Jun20_003","2019-06-20","2019-06-20",NULL,"1412848705648378","USD","mysolar.com","","Don't Buy Solar Panels Before Using This Site!","https://www.facebook.com/ads/archive/render_ad/?id=37784157851243714&access_token=EAAD2gYjXSRoBAG52Qh0n09pqdyLcZA8P1Hh7eOoDG6sqU9u255U8BhoGzAG3PzEt3QbiutaLXGOdnfLzaxh8BR6uY4JpWRcVNrFlgIQ3hloTQmJw76aDpXHNRSs8Yhyu53eDRYy94hazbWc6fdH84weGSw6ZCitOqK05C4ePEYnenPZBZB6s","MySolar"
"32675121872147363","Giles County homeowners can sign up for a new solar program and pay nothing out of pocket to go solar in addition to saving money on their electric bills. Thousands have signed up. Click below to see if you qualify.","2019-01-14","2019-01-14",NULL,"145364112948965","USD","homeenergy.guide","","Giles County Company Launches No Initial Cost Solar Program","https://www.facebook.com/ads/archive/render_ad/?id=32675121872147363&access_token=245896836130201%7CpbyRnfMQLWKShIkhNms7iEYKL0w","Home Energy Guide"
"31027236453739461","Exciting News for North Carolina Homeowners in 2019! The new solar program for North Carolina brings in huge savings to all homeowners who qualify. If you are lucky enough to live in an active zip code, you could save big with zero upfront costs. Click on the link below to see if your home location qualifies - checking is FREE!","2019-09-13","2019-09-13","2019-09-17","145364112948965","USD","fb.me","","North Carolina Company Launches No Initial Cost Solar Program","https://www.facebook.com/ads/archive/render_ad/?id=31027236453739461&access_token=EAAD2gYjXSRoBANHib7yyqD2c5Odyh2ctnUhfsw7Htn4jqXfnZAQ5P2JAxDPsWvQHChLL3659Jy8kHvzh1wGHbjk0V8Bci8cYO7wHwaQAXu22JT857aasjNiTYsGjZCaYdOJxRNfmAsadrUEZAD1oSQrxZAqlpFr5ZChDafsCxZBcfILHotNdW4","Home Energy Guide"
"30368069829656130","Textile Tuesday! Today I share my disappointment at MPP’s Donna Skelly and Kinga Surma’s March motion at Queen’s Park, and the unfortunate perception perpetuated by a City of Markham official. Also, I firmly believe that Diabetes is not the only charity & Value Village not the only thrift store chain worthy of public support so I find it dismaying when municipalities are giving them competitive advantage in the textile waste sector. #sustainability #economicdevelopment #integrity #textilewaste #ontario","2019-09-04","2019-09-04","2019-09-09","364430433998631","CAD",NULL,NULL,NULL,"https://www.facebook.com/ads/archive/render_ad/?id=30368069829656130&access_token=EAAhZBQYQVMRMBAMso0s3yKiWOLJDd6YhYI8hZBSxBnhAfZAp7DaUGOGpSgJiPzVjaLygZCpzqVrVZAEiKnoNAJIcfIhSOGhLVO3qREeFMxlB0O4YnOsFtxFVXRWyY5JbnKEsgQqQBONG2VbAQdZCGxCObz2qJxOksZD",NULL
"29324219657374491","President Obama’s 58th birthday is just around the corner! Help wish him a happy birthday and tell him why you are supporting Democrats in 2020 and beyond.

SEND OBAMA A BIRTHDAY MESSAGE >>","2019-07-31","2019-07-31",NULL,"12301006942","USD","my.democrats.org","","Sign President Obama’s Birthday Card: Add Your Name","https://www.facebook.com/ads/archive/render_ad/?id=29324219657374491&access_token=EAAD2gYjXSRoBAG52Qh0n09pqdyLcZA8P1Hh7eOoDG6sqU9u255U8BhoGzAG3PzEt3QbiutaLXGOdnfLzaxh8BR6uY4JpWRcVNrFlgIQ3hloTQmJw76aDpXHNRSs8Yhyu53eDRYy94hazbWc6fdH84weGSw6ZCitOqK05C4ePEYnenPZBZB6s","the Democratic National Committee, 1.877.336.7200. Not authorized by any candidate or candidate’s committee."
